id,timestamp,amount,currency,type,src,dst,component_id,is_fraud,anomaly_type,incident_id
tx-83172fbb23,2026-07-19T14:55:11Z,671.5,USD,crypto_withdrawal,ACC-2291,MERCH-STRIPE,order-service,False,,
tx-2f64a7c9f9,2026-07-19T14:58:59Z,243.15,USD,card_charge,ACC-7701,ACC-0042,payment-gateway,False,,
tx-82d39ce58c,2026-07-19T15:00:48Z,515.17,USD,wire_transfer,ACC-7701,EXT-EU-291,order-service,False,,
tx-5dadf33d75,2026-07-19T15:04:26Z,226.49,USD,refund,ACC-1187,EXT-EU-291,order-service,False,,
tx-13a75ff162,2026-07-19T15:08:28Z,509.05,USD,crypto_withdrawal,ACC-4480,ACC-1187,order-service,False,,
tx-be4e3b3feb,2026-07-19T15:10:06Z,641.65,USD,card_charge,ACC-0042,ACC-5512,order-service,False,,
tx-e7a12a879b,2026-07-19T15:13:26Z,986.9,USD,p2p_transfer,ACC-0042,ACC-4480,payment-gateway,False,,
tx-308762c099,2026-07-19T15:16:17Z,39.73,USD,wire_transfer,ACC-1187,ACC-3354,payment-service,False,,
tx-ce37ae861a,2026-07-19T15:18:12Z,575.85,USD,refund,ACC-2291,ACC-8834,payment-service,False,,
tx-e67d76b6db,2026-07-19T15:22:06Z,615.29,USD,wire_transfer,ACC-9902,ACC-0042,payment-gateway,False,,
tx-f0e4bc61a5,2026-07-19T15:24:28Z,722.51,USD,wire_transfer,ACC-0042,ACC-2291,order-service,False,,
tx-e75c1eb4a5,2026-07-19T15:27:48Z,1162.11,USD,inter_account,ACC-6673,MERCH-STRIPE,payment-service,False,,
tx-7e7f7c1291,2026-07-19T15:31:55Z,499.97,USD,ach_payment,ACC-0042,ACC-6673,order-service,False,,
tx-a68932d457,2026-07-19T15:33:50Z,534.34,USD,refund,ACC-8834,ACC-6673,payment-service,False,,
tx-faf445b4b5,2026-07-19T15:37:40Z,399.11,USD,p2p_transfer,ACC-3354,ACC-0042,order-service,False,,
tx-ff0e70b444,2026-07-19T15:40:04Z,671.72,USD,wire_transfer,ACC-2291,MERCH-SHOPIFY,payment-gateway,False,,
tx-d5d12847c6,2026-07-19T15:43:16Z,149.39,USD,inter_account,ACC-5512,ACC-0042,order-service,False,,
tx-57e3a3f940,2026-07-19T15:45:47Z,714.58,USD,inter_account,ACC-3354,MERCH-SHOPIFY,payment-gateway,False,,
tx-4b8c33bcca,2026-07-19T15:47:27Z,920.38,USD,crypto_withdrawal,ACC-3354,EXT-EU-291,order-service,False,,
tx-a533c4182b,2026-07-19T15:49:05Z,71.73,USD,crypto_withdrawal,ACC-1187,ACC-4480,order-service,False,,
tx-f3dd188d6d,2026-07-19T15:53:19Z,579.14,USD,p2p_transfer,ACC-4480,ACC-3354,payment-service,False,,
tx-e526833fac,2026-07-19T15:56:36Z,495.95,USD,ach_payment,ACC-3354,MERCH-PAYPAL,payment-gateway,False,,
tx-6677be640b,2026-07-19T15:59:57Z,840.49,USD,ach_payment,ACC-2291,ACC-3354,order-service,False,,
tx-59b54fe74f,2026-07-19T16:03:14Z,358.56,USD,crypto_withdrawal,ACC-8834,ACC-9902,payment-service,False,,
tx-228ad94b3d,2026-07-19T16:07:28Z,1294.3,USD,p2p_transfer,ACC-4480,EXT-EU-291,payment-service,False,,
tx-1aa566291a,2026-07-19T16:09:42Z,569.23,USD,card_charge,ACC-0042,ACC-5512,payment-service,False,,
tx-2efac2c6c7,2026-07-19T16:12:21Z,584.55,USD,card_charge,ACC-3354,MERCH-SHOPIFY,payment-gateway,False,,
tx-c6ded8c1a7,2026-07-19T16:14:48Z,917.58,USD,refund,ACC-2291,ACC-1187,payment-service,False,,
tx-138481d910,2026-07-19T16:19:04Z,337.15,USD,inter_account,ACC-2291,EXT-LATAM-16,payment-service,False,,
tx-204d0e5e42,2026-07-19T16:22:30Z,662.72,USD,ach_payment,ACC-0042,MERCH-SHOPIFY,payment-service,False,,
tx-5296e69180,2026-07-19T16:26:15Z,483.32,USD,ach_payment,ACC-3354,ACC-5512,payment-service,False,,
tx-fc38a58d1a,2026-07-19T16:29:50Z,687.53,USD,p2p_transfer,ACC-3354,ACC-0042,payment-service,False,,
tx-a7fdd70827,2026-07-19T16:33:39Z,661.57,USD,inter_account,ACC-9902,ACC-1187,order-service,False,,
tx-b8efd59858,2026-07-19T16:36:18Z,1220.75,USD,inter_account,ACC-3354,ACC-9902,payment-gateway,False,,
tx-d2c10c5b7a,2026-07-19T16:39:13Z,684.74,USD,refund,ACC-9902,EXT-APAC-47,order-service,False,,
tx-ad14c58f40,2026-07-19T16:42:58Z,949.54,USD,p2p_transfer,ACC-8834,MERCH-PAYPAL,order-service,False,,
tx-88bf990ea3,2026-07-19T16:46:03Z,262.56,USD,wire_transfer,ACC-5512,ACC-2291,order-service,False,,
tx-2392088df3,2026-07-19T16:49:26Z,445.74,USD,crypto_withdrawal,ACC-6673,MERCH-PAYPAL,payment-gateway,False,,
tx-e896903848,2026-07-19T16:52:36Z,14529.26,USD,wire_transfer,ACC-8834,EXT-LATAM-16,payment-gateway,True,fraud,
tx-21a4540c99,2026-07-19T16:54:23Z,871.42,USD,wire_transfer,ACC-4480,ACC-9902,payment-gateway,False,,
tx-d7adf43b02,2026-07-19T16:56:57Z,693.71,USD,refund,ACC-9902,ACC-4480,payment-gateway,False,,
tx-5b2e3956f5,2026-07-19T16:59:03Z,331.33,USD,crypto_withdrawal,ACC-7701,MERCH-SHOPIFY,payment-gateway,False,,
tx-6fdd01077a,2026-07-19T17:01:12Z,487.97,USD,refund,ACC-5512,MERCH-PAYPAL,payment-service,False,,
tx-d52b47980e,2026-07-19T17:02:43Z,771.22,USD,card_charge,ACC-2291,ACC-5512,payment-service,False,,
tx-a2b58878ef,2026-07-19T17:04:38Z,684.85,USD,p2p_transfer,ACC-6673,ACC-0042,payment-gateway,False,,
tx-8c8dd3fd9e,2026-07-19T17:06:39Z,458.46,USD,refund,ACC-6673,EXT-US-883,payment-service,False,,
tx-bf54fea48c,2026-07-19T17:10:31Z,107.19,USD,ach_payment,ACC-1187,ACC-0042,payment-service,False,,
tx-c5e9b5f9e0,2026-07-19T17:13:20Z,250.89,USD,wire_transfer,ACC-5512,ACC-0042,order-service,False,,
tx-40393e5d4f,2026-07-19T17:16:25Z,672.25,USD,card_charge,ACC-0042,MERCH-PAYPAL,payment-service,False,,
tx-8a8a2c31f9,2026-07-19T17:19:09Z,706.25,USD,card_charge,ACC-4480,EXT-LATAM-16,order-service,False,,
tx-b4d1e53bb1,2026-07-19T17:20:50Z,73.55,USD,inter_account,ACC-1187,ACC-0042,payment-gateway,False,,
tx-49871c3e03,2026-07-19T17:22:41Z,925.03,USD,wire_transfer,ACC-0042,EXT-LATAM-16,payment-gateway,False,,
tx-ab20f08148,2026-07-19T17:24:16Z,1465.36,USD,inter_account,ACC-4480,EXT-US-883,order-service,False,,
tx-215f6cfe2c,2026-07-19T17:26:06Z,837.1,USD,inter_account,ACC-6673,MERCH-PAYPAL,payment-gateway,False,,
tx-dedaa2ebfd,2026-07-19T17:28:02Z,226.86,USD,p2p_transfer,ACC-0042,ACC-7701,payment-gateway,False,,
tx-05e8a6aed1,2026-07-19T17:30:45Z,575.44,USD,ach_payment,ACC-9902,EXT-LATAM-16,payment-service,False,,
tx-3cfe9f5259,2026-07-19T17:34:39Z,557.5,USD,refund,ACC-0042,EXT-EU-291,payment-service,False,,
tx-bb7889d7af,2026-07-19T17:36:43Z,492.02,USD,p2p_transfer,ACC-4480,MERCH-AMZN,order-service,False,,
tx-8df7cbbb4d,2026-07-19T17:39:54Z,1355.93,USD,ach_payment,ACC-4480,EXT-APAC-47,payment-gateway,False,,
tx-06533d282a,2026-07-19T17:43:26Z,646.48,USD,inter_account,ACC-0042,MERCH-PAYPAL,payment-service,False,,
tx-a2f256f967,2026-07-19T17:46:06Z,112.08,USD,ach_payment,ACC-1187,EXT-LATAM-16,order-service,False,,
tx-a163bb0e35,2026-07-19T17:48:35Z,187.98,USD,wire_transfer,ACC-5512,ACC-2291,payment-service,False,,
tx-54fae0334e,2026-07-19T17:50:13Z,708.91,USD,p2p_transfer,ACC-0042,ACC-8834,payment-gateway,False,,
tx-d441dc07d0,2026-07-19T17:54:23Z,681.35,USD,inter_account,ACC-6673,ACC-5512,order-service,False,,
tx-6e96faf2a7,2026-07-19T17:58:20Z,783.18,USD,inter_account,ACC-0042,MERCH-AMZN,payment-gateway,False,,
tx-2ea80a2511,2026-07-19T18:01:35Z,1078.95,USD,wire_transfer,ACC-8834,ACC-1187,payment-gateway,False,,
tx-047bbb33a1,2026-07-19T18:03:57Z,467.84,USD,p2p_transfer,ACC-5512,EXT-US-883,payment-gateway,False,,
tx-b6b321638d,2026-07-19T18:06:23Z,472.05,USD,wire_transfer,ACC-7701,ACC-9902,payment-service,False,,
tx-a1f59450a0,2026-07-19T18:09:24Z,811.47,USD,p2p_transfer,ACC-8834,ACC-9902,order-service,False,,
tx-8dc5e12e1b,2026-07-19T18:11:00Z,588.3,USD,card_charge,ACC-8834,EXT-LATAM-16,order-service,False,,
tx-cd6e105139,2026-07-19T18:13:35Z,187.11,USD,wire_transfer,ACC-5512,MERCH-STRIPE,payment-gateway,False,,
tx-6bb131128e,2026-07-19T18:17:50Z,1055.41,USD,ach_payment,ACC-9902,ACC-5512,payment-gateway,False,,
tx-d5f8d0e3ba,2026-07-19T18:20:20Z,554.42,USD,card_charge,ACC-8834,ACC-0042,payment-service,False,,
tx-481db6f868,2026-07-19T18:23:35Z,517.47,USD,p2p_transfer,ACC-0042,EXT-APAC-47,payment-gateway,False,,
tx-ffc7fe0e91,2026-07-19T18:25:06Z,346.57,USD,ach_payment,ACC-1187,MERCH-AMZN,payment-gateway,False,,
tx-7d50f3c8bf,2026-07-19T18:27:30Z,151.31,USD,inter_account,ACC-8834,ACC-9902,payment-gateway,False,,
tx-265e659166,2026-07-19T18:30:56Z,82.1,USD,ach_payment,ACC-1187,ACC-4480,payment-gateway,False,,
tx-ab4f90263d,2026-07-19T18:32:53Z,776.98,USD,refund,ACC-6673,MERCH-PAYPAL,payment-gateway,False,,
tx-c7eea3c812,2026-07-19T18:36:25Z,321.84,USD,crypto_withdrawal,ACC-8834,ACC-6673,payment-service,False,,
tx-590c81dd71,2026-07-19T18:38:59Z,923.91,USD,refund,ACC-4480,ACC-1187,order-service,False,,
tx-13f73ea83f,2026-07-19T18:42:59Z,320.72,USD,p2p_transfer,ACC-7701,MERCH-STRIPE,payment-gateway,False,,
tx-1316098bfa,2026-07-19T18:45:09Z,1015.16,USD,wire_transfer,ACC-4480,ACC-9902,payment-gateway,False,,
tx-b10f304dd4,2026-07-19T18:49:00Z,457.61,USD,refund,ACC-2291,ACC-8834,payment-service,False,,
tx-646be385c9,2026-07-19T18:52:36Z,652.72,USD,inter_account,ACC-2291,MERCH-STRIPE,order-service,False,,
tx-19083c7859,2026-07-19T18:56:28Z,476.08,USD,crypto_withdrawal,ACC-3354,EXT-US-883,payment-service,False,,
tx-42d915e139,2026-07-19T18:58:53Z,848.25,USD,wire_transfer,ACC-8834,EXT-APAC-47,payment-service,False,,
tx-a63dbc326a,2026-07-19T19:01:35Z,320.21,USD,ach_payment,ACC-2291,ACC-5512,payment-gateway,False,,
tx-8e0add6fde,2026-07-19T19:03:18Z,524.33,USD,crypto_withdrawal,ACC-8834,MERCH-AMZN,payment-gateway,False,,
tx-d8f6a36492,2026-07-19T19:05:30Z,270.4,USD,inter_account,ACC-9902,EXT-US-883,payment-service,False,,
tx-597232a42e,2026-07-19T19:09:26Z,340.76,USD,refund,ACC-8834,MERCH-SHOPIFY,payment-service,False,,
tx-bd5c68fc4d,2026-07-19T19:11:50Z,887.12,USD,p2p_transfer,ACC-4480,ACC-0042,payment-gateway,False,,
tx-8b2770496f,2026-07-19T19:14:59Z,143.73,USD,card_charge,ACC-8834,EXT-EU-291,payment-gateway,False,,
tx-7caaf0df08,2026-07-19T19:17:40Z,660.92,USD,inter_account,ACC-9902,ACC-2291,order-service,False,,
tx-ee6919dd45,2026-07-19T19:19:33Z,420.25,USD,p2p_transfer,ACC-5512,ACC-3354,order-service,False,,
tx-03cfa2060f,2026-07-19T19:22:20Z,324.85,USD,crypto_withdrawal,ACC-9902,EXT-US-883,payment-service,False,,
tx-7ac86c640d,2026-07-19T19:23:52Z,463.93,USD,inter_account,ACC-9902,MERCH-PAYPAL,payment-service,False,,
tx-bc4710b208,2026-07-19T19:27:54Z,335.15,USD,card_charge,ACC-9902,ACC-0042,payment-gateway,False,,
tx-9ea604e849,2026-07-19T19:30:33Z,261.54,USD,refund,ACC-1187,EXT-LATAM-16,payment-gateway,False,,
tx-593cd763b2,2026-07-19T19:34:51Z,582.87,USD,ach_payment,ACC-2291,ACC-7701,payment-service,False,,
tx-13dd7b71ed,2026-07-19T19:36:35Z,965.57,USD,inter_account,ACC-4480,ACC-9902,payment-gateway,False,,
tx-0a98ac849b,2026-07-19T19:38:47Z,142.69,USD,p2p_transfer,ACC-1187,MERCH-PAYPAL,payment-service,False,,
tx-6f09f92b29,2026-07-19T19:41:54Z,405.58,USD,crypto_withdrawal,ACC-7701,ACC-9902,order-service,False,,
tx-309f23ec49,2026-07-19T19:44:28Z,954.64,USD,crypto_withdrawal,ACC-0042,EXT-LATAM-16,payment-service,False,,
tx-0d55b0b996,2026-07-19T19:48:35Z,329.85,USD,inter_account,ACC-0042,ACC-8834,order-service,False,,
tx-052267c4dc,2026-07-19T19:51:38Z,334.67,USD,wire_transfer,ACC-2291,ACC-9902,payment-gateway,False,,
tx-5c5674056a,2026-07-19T19:55:04Z,563.84,USD,crypto_withdrawal,ACC-0042,EXT-EU-291,payment-service,False,,
tx-7e196f1e19,2026-07-19T19:57:23Z,513.57,USD,ach_payment,ACC-9902,MERCH-SHOPIFY,payment-gateway,False,,
tx-d6ddaa9ede,2026-07-19T20:00:57Z,950.19,USD,wire_transfer,ACC-8834,MERCH-STRIPE,payment-gateway,False,,
tx-87b7e0dd7a,2026-07-19T20:05:17Z,276.23,USD,card_charge,ACC-1187,MERCH-STRIPE,payment-service,False,,
tx-7ea60fa097,2026-07-19T20:07:20Z,624.6,USD,refund,ACC-8834,ACC-6673,payment-gateway,False,,
tx-42761b45a9,2026-07-19T20:11:20Z,631.95,USD,ach_payment,ACC-8834,ACC-2291,payment-gateway,False,,
tx-daf451577e,2026-07-19T20:13:18Z,261.35,USD,crypto_withdrawal,ACC-0042,ACC-3354,payment-service,False,,
tx-0a4b0590ce,2026-07-19T20:15:52Z,362.98,USD,refund,ACC-5512,MERCH-STRIPE,payment-gateway,False,,
tx-1559e42c3f,2026-07-19T20:17:42Z,404.85,USD,card_charge,ACC-5512,EXT-APAC-47,payment-service,False,infra_retry_duplicate,inc-da7cc0be
tx-354822d19b,2026-07-19T20:17:44Z,404.85,USD,card_charge,ACC-5512,EXT-APAC-47,payment-service,False,infra_retry_duplicate,inc-da7cc0be
tx-6169592b6b,2026-07-19T20:21:12Z,271.45,USD,wire_transfer,ACC-2291,MERCH-STRIPE,payment-service,False,,
tx-ac78290c48,2026-07-19T20:24:34Z,741.98,USD,refund,ACC-6673,MERCH-AMZN,order-service,False,,
tx-4dce8a3bf1,2026-07-19T20:26:19Z,499.74,USD,wire_transfer,ACC-9902,EXT-APAC-47,payment-service,False,,
tx-f8a9a10260,2026-07-19T20:28:08Z,284.48,USD,ach_payment,ACC-6673,EXT-EU-291,payment-gateway,False,,
tx-2d6867151a,2026-07-19T20:31:27Z,779.97,USD,p2p_transfer,ACC-4480,MERCH-STRIPE,order-service,False,,
tx-6769954e71,2026-07-19T20:35:09Z,9.2,USD,wire_transfer,ACC-8834,ACC-1187,order-service,False,,
tx-5e2505dc59,2026-07-19T20:37:53Z,62.93,USD,wire_transfer,ACC-7701,EXT-US-883,payment-gateway,False,,
tx-757deb2d11,2026-07-19T20:40:13Z,1192.69,USD,p2p_transfer,ACC-6673,MERCH-AMZN,payment-gateway,False,,
tx-9fb923f7cc,2026-07-19T20:43:40Z,705.91,USD,card_charge,ACC-0042,ACC-7701,order-service,False,,
tx-9f642ca203,2026-07-19T20:46:16Z,374.69,USD,wire_transfer,ACC-5512,EXT-US-883,payment-gateway,False,,
tx-5df73eaac6,2026-07-19T20:47:55Z,868.25,USD,wire_transfer,ACC-9902,ACC-1187,payment-gateway,False,,
tx-19ee050efa,2026-07-19T20:51:41Z,838.86,USD,inter_account,ACC-3354,ACC-5512,payment-service,False,,
tx-56b7e25b55,2026-07-19T20:55:10Z,320.91,USD,ach_payment,ACC-1187,EXT-US-883,payment-service,False,,
tx-d3965add8b,2026-07-19T20:57:16Z,238.46,USD,p2p_transfer,ACC-1187,EXT-LATAM-16,order-service,False,,
tx-4a23858226,2026-07-19T20:59:49Z,794.14,USD,ach_payment,ACC-8834,EXT-US-883,order-service,False,,
tx-7d59114975,2026-07-19T21:02:26Z,396.91,USD,refund,ACC-7701,EXT-EU-291,payment-gateway,False,,
tx-4c0ef8c1b8,2026-07-19T21:06:37Z,270.13,USD,inter_account,ACC-7701,ACC-9902,payment-gateway,False,,
tx-fd57373b89,2026-07-19T21:08:58Z,377.51,USD,refund,ACC-2291,ACC-6673,payment-service,False,,
tx-a575c23d5b,2026-07-19T21:11:16Z,512.57,USD,inter_account,ACC-2291,ACC-3354,payment-gateway,False,,
tx-12ae521acb,2026-07-19T21:14:12Z,852.86,USD,refund,ACC-0042,EXT-LATAM-16,payment-gateway,False,,
tx-d6b28a3cc3,2026-07-19T21:15:51Z,223.65,USD,wire_transfer,ACC-5512,ACC-8834,payment-service,False,,
tx-5eefcfefc4,2026-07-19T21:17:57Z,681.61,USD,p2p_transfer,ACC-9902,MERCH-SHOPIFY,payment-service,False,,
tx-4b4df7eed5,2026-07-19T21:19:38Z,456.88,USD,refund,ACC-8834,MERCH-PAYPAL,payment-gateway,False,,
tx-d22cc9aa40,2026-07-19T21:22:30Z,365.45,USD,wire_transfer,ACC-2291,ACC-5512,payment-service,False,,
tx-8c9dbd6ae3,2026-07-19T21:25:12Z,244.57,USD,refund,ACC-5512,ACC-4480,payment-gateway,False,,
tx-823879b4f4,2026-07-19T21:27:39Z,546.06,USD,inter_account,ACC-6673,ACC-1187,payment-gateway,False,,
tx-9cc61e2dee,2026-07-19T21:31:55Z,84.77,USD,crypto_withdrawal,ACC-5512,MERCH-SHOPIFY,payment-gateway,False,,
tx-0444222f90,2026-07-19T21:34:35Z,309.55,USD,refund,ACC-7701,EXT-LATAM-16,order-service,False,,
tx-8085c50eb7,2026-07-19T21:36:17Z,936.84,USD,wire_transfer,ACC-8834,ACC-2291,payment-service,False,,
tx-0aba009659,2026-07-19T21:39:59Z,139.71,USD,crypto_withdrawal,ACC-1187,ACC-5512,payment-gateway,False,,
tx-365d107910,2026-07-19T21:41:54Z,476.81,USD,p2p_transfer,ACC-9902,ACC-8834,payment-gateway,False,,
tx-a8cba87b97,2026-07-19T21:45:12Z,304.57,USD,ach_payment,ACC-5512,ACC-2291,order-service,False,,
tx-326640580a,2026-07-19T21:47:08Z,596.6,USD,wire_transfer,ACC-8834,ACC-6673,payment-service,False,,
tx-0ce32fb4e9,2026-07-19T21:50:31Z,707.72,USD,card_charge,ACC-0042,ACC-3354,order-service,False,,
tx-c28c00c01e,2026-07-19T21:53:41Z,156.82,USD,p2p_transfer,ACC-5512,ACC-8834,payment-gateway,False,,
tx-f417127481,2026-07-19T21:55:34Z,607.8,USD,card_charge,ACC-6673,ACC-3354,payment-gateway,False,,
tx-8d3458de67,2026-07-19T21:57:23Z,463.98,USD,inter_account,ACC-2291,ACC-0042,payment-service,False,,
tx-0c33713b66,2026-07-19T22:00:40Z,953.05,USD,wire_transfer,ACC-8834,ACC-9902,order-service,False,,
tx-fa69d9f897,2026-07-19T22:04:50Z,1011.46,USD,crypto_withdrawal,ACC-3354,ACC-7701,payment-service,False,,
tx-8a45dc625a,2026-07-19T22:07:55Z,1228.64,USD,refund,ACC-9902,ACC-8834,order-service,False,,
tx-e262d2b8a0,2026-07-19T22:10:34Z,251.33,USD,ach_payment,ACC-5512,ACC-4480,payment-gateway,False,,
tx-6f0f0bbdc9,2026-07-19T22:12:53Z,322.73,USD,ach_payment,ACC-6673,ACC-8834,order-service,False,,
tx-4dabacdc63,2026-07-19T22:16:26Z,14767.92,USD,wire_transfer,ACC-9902,EXT-LATAM-16,payment-gateway,True,fraud,
tx-6879484ea7,2026-07-19T22:20:46Z,879.67,USD,crypto_withdrawal,ACC-9902,ACC-5512,payment-gateway,False,,
tx-d4ebc4161a,2026-07-19T22:24:23Z,255.14,USD,p2p_transfer,ACC-7701,MERCH-STRIPE,payment-gateway,False,,
tx-a4b5d779c4,2026-07-19T22:26:54Z,280.37,USD,p2p_transfer,ACC-2291,EXT-APAC-47,order-service,False,,
tx-05cd4212fc,2026-07-19T22:29:49Z,293.01,USD,p2p_transfer,ACC-1187,ACC-4480,order-service,False,,
tx-8177c343df,2026-07-19T22:33:18Z,236.12,USD,crypto_withdrawal,ACC-7701,MERCH-AMZN,order-service,False,,
tx-a52d03bead,2026-07-19T22:34:56Z,161.83,USD,wire_transfer,ACC-7701,MERCH-STRIPE,order-service,False,,
tx-70bd74263b,2026-07-19T22:39:10Z,361.18,USD,crypto_withdrawal,ACC-6673,ACC-3354,payment-service,False,,
tx-0702de981f,2026-07-19T22:41:41Z,404.49,USD,inter_account,ACC-7701,MERCH-STRIPE,payment-gateway,False,,
tx-d3d15b7d2c,2026-07-19T22:45:03Z,1261.52,USD,p2p_transfer,ACC-4480,ACC-8834,payment-gateway,False,,
tx-7fb30f38d3,2026-07-19T22:49:14Z,206.21,USD,card_charge,ACC-7701,EXT-APAC-47,payment-service,False,,
tx-9c23cb096f,2026-07-19T22:51:56Z,813.65,USD,wire_transfer,ACC-8834,ACC-2291,order-service,False,,
tx-7954fcefc5,2026-07-19T22:55:54Z,289.74,USD,inter_account,ACC-5512,EXT-EU-291,order-service,False,,
tx-00fb91c623,2026-07-19T22:59:36Z,206.16,USD,ach_payment,ACC-7701,ACC-1187,order-service,False,,
tx-801401d813,2026-07-19T23:03:17Z,716.96,USD,ach_payment,ACC-6673,MERCH-SHOPIFY,payment-gateway,False,,
tx-dd276ac1be,2026-07-19T23:05:54Z,846.69,USD,crypto_withdrawal,ACC-3354,ACC-1187,payment-service,False,,
tx-01f8bc779a,2026-07-19T23:10:05Z,385.37,USD,card_charge,ACC-4480,MERCH-STRIPE,order-service,False,,
tx-359e36eec2,2026-07-19T23:13:15Z,437.13,USD,wire_transfer,ACC-5512,ACC-3354,payment-service,False,,
tx-888f887299,2026-07-19T23:16:52Z,227.93,USD,crypto_withdrawal,ACC-1187,EXT-APAC-47,payment-gateway,False,,
tx-314d712231,2026-07-19T23:18:37Z,35.62,USD,inter_account,ACC-1187,ACC-0042,payment-gateway,False,,
tx-4988cc9a12,2026-07-19T23:20:40Z,814.89,USD,p2p_transfer,ACC-3354,EXT-LATAM-16,order-service,False,,
tx-36df9e22ba,2026-07-19T23:23:34Z,1012.36,USD,card_charge,ACC-0042,ACC-3354,payment-gateway,False,,
tx-9411fb5937,2026-07-19T23:25:35Z,909.64,USD,refund,ACC-3354,ACC-4480,payment-gateway,False,,
tx-51c8106118,2026-07-19T23:29:10Z,1318.96,USD,refund,ACC-6673,ACC-1187,payment-service,False,,
tx-cf30a54c61,2026-07-19T23:32:39Z,587.14,USD,ach_payment,ACC-0042,ACC-6673,payment-service,False,,
tx-d007a818c8,2026-07-19T23:36:54Z,165.87,USD,card_charge,ACC-1187,EXT-APAC-47,order-service,False,,
tx-068803d55c,2026-07-19T23:41:03Z,443.55,USD,p2p_transfer,ACC-8834,ACC-4480,payment-gateway,False,,
tx-410794e2ef,2026-07-19T23:45:08Z,544.79,USD,ach_payment,ACC-3354,ACC-8834,order-service,False,,
tx-1a6000c8c3,2026-07-19T23:46:52Z,493.27,USD,refund,ACC-9902,ACC-8834,payment-service,False,,
tx-bf38599a3f,2026-07-19T23:49:05Z,627.62,USD,inter_account,ACC-6673,ACC-0042,payment-gateway,False,,
tx-e6abd06df6,2026-07-19T23:52:42Z,782.8,USD,inter_account,ACC-8834,ACC-3354,order-service,False,,
tx-e38e427688,2026-07-19T23:55:06Z,39260.31,USD,wire_transfer,ACC-3354,MERCH-PAYPAL,order-service,True,fraud,
tx-1ca6bd2b11,2026-07-19T23:57:48Z,386.72,USD,ach_payment,ACC-8834,MERCH-STRIPE,payment-service,False,,
tx-ca4f5be748,2026-07-20T00:01:03Z,1,USD,inter_account,ACC-4480,EXT-US-883,payment-service,False,,
tx-fb1abec08b,2026-07-20T00:03:00Z,186.2,USD,p2p_transfer,ACC-4480,MERCH-AMZN,payment-gateway,False,,
tx-282331347d,2026-07-20T00:04:58Z,1331.5,USD,inter_account,ACC-6673,ACC-5512,payment-service,False,,
tx-5dc91356a8,2026-07-20T00:09:04Z,258.56,USD,p2p_transfer,ACC-1187,ACC-8834,payment-gateway,False,,
tx-a998e2581c,2026-07-20T00:12:01Z,708.45,USD,refund,ACC-2291,ACC-7701,order-service,False,,
tx-78f03d35d4,2026-07-20T00:15:30Z,880.69,USD,p2p_transfer,ACC-6673,ACC-5512,order-service,False,,
tx-53c2d6cb5a,2026-07-20T00:18:48Z,367.25,USD,wire_transfer,ACC-7701,ACC-1187,payment-service,False,,
